id,plateforme,genre,annee,mois,duree_min,pays_origine,abonnes_chaine,vues,likes,commentaires,taux_retention,score_critique,tendance
96,YouTube,Drame,2020,12,19,France,4468,121845,21247,176,79.6,5.8,1
97,YouTube,Animation,2017,2,9,Espagne,1766242,474,47,20,76.5,4.3,0
98,YouTube,Animation,2023,8,41,France,18686,7224,210,28,77.7,5.8,0
99,YouTube,Comedie,2017,12,3,France,13974,1798,207,22,53.8,7.0,0
100,YouTube,Horreur,2019,10,21,Espagne,293,2008,343,12,45.8,6.3,0
101,YouTube,Comedie,2019,3,53,Canada,42301,106507,12054,1151,45.5,6.4,1
102,YouTube,Horreur,2017,11,35,Espagne,2523,2409,92,5,75.4,6.3,0
103,YouTube,Action,2019,6,41,Canada,49836,1221,118,3,54.3,5.8,0
104,YouTube,Documentaire,2015,6,41,UK,2157,1518,92,18,30.8,6.4,0
105,YouTube,Documentaire,2020,7,20,France,802429,846,52,7,61.5,5.3,0
106,YouTube,Documentaire,2021,10,39,USA,66379,558,28,3,83.0,6.6,0
107,YouTube,Animation,2023,2,15,Espagne,2104825,855,10,19,82.3,6.7,0
108,YouTube,SF,2017,7,39,Allemagne,2846,190617,15752,420,79.7,8.6,1
109,YouTube,Documentaire,2017,10,41,USA,488140,17654,1087,112,45.2,5.3,0
110,YouTube,Drame,2019,7,52,USA,598,1257,107,2,73.6,7.6,0
111,YouTube,Documentaire,2021,4,55,France,33394,34687,3815,209,91.9,7.8,0
112,YouTube,Romance,2023,1,4,USA,6227,100,14,0,24.8,6.1,0
113,YouTube,SF,2015,7,20,Allemagne,8991,92892,1431,1210,78.1,5.5,1
114,YouTube,Romance,2017,9,34,France,7840,75954,2275,541,90.9,8.5,0
115,YouTube,Romance,2017,7,21,USA,3535,798775,37933,1172,68.1,4.5,1
116,YouTube,Action,2017,12,38,Espagne,1773,37379,5697,165,89.8,5.3,0
117,YouTube,Comedie,2019,8,51,USA,9091,8893,1414,11,56.1,4.9,0
118,YouTube,Drame,2022,7,17,USA,27779,75195,5369,799,87.8,5.5,0
119,YouTube,Comedie,2015,1,53,USA,225796,623,52,5,64.3,6.1,0
120,YouTube,SF,2022,7,53,France,39763,1109,14,1,91.7,8.7,0
121,YouTube,Animation,2020,3,55,France,227085,2538,330,5,71.7,5.9,0
122,YouTube,Animation,2020,9,7,France,1145,91327,6829,2988,68.3,9.7,1
123,YouTube,SF,2021,2,19,France,9265,350,11,0,73.1,7.9,0
124,YouTube,Horreur,2016,11,10,France,91309,269,15,2,48.8,5.7,0
125,YouTube,Romance,2021,4,9,USA,43755,5384,132,40,60.5,5.8,0
126,YouTube,Action,2017,6,6,France,3934,17922,2035,35,87.1,6.8,0
127,YouTube,Documentaire,2019,2,28,Espagne,142648,514,30,2,41.8,6.6,0
128,YouTube,Romance,2021,3,7,France,7611,15931,1594,349,80.0,4.8,0
129,YouTube,Animation,2020,12,19,USA,4653,91217,16582,647,65.0,5.4,1
130,YouTube,Romance,2017,4,58,Allemagne,58331,59943,2386,212,75.1,4.2,0
131,YouTube,Romance,2018,7,53,France,22299,7210,100,18,93.1,9.1,0
132,YouTube,Action,2019,12,56,USA,7740,2376,40,4,70.0,6.7,0
133,YouTube,Romance,2015,8,5,Canada,7231,228446,16910,792,78.4,6.0,1
134,YouTube,Documentaire,2021,1,40,USA,2592,3097,475,27,51.9,5.5,0
135,YouTube,Thriller,2015,5,39,France,9981,31284,3495,380,56.6,5.7,0
136,YouTube,Animation,2019,5,10,UK,198792,398596,21683,2080,46.1,4.3,1
137,YouTube,Action,2020,4,54,UK,35921,24056,1272,343,45.7,6.7,0
138,YouTube,Thriller,2015,3,26,USA,149819,246,5,4,95.0,7.7,0
139,YouTube,SF,2023,7,58,France,61829,134,6,2,77.3,8.9,0
140,YouTube,Biopic,2018,5,9,France,6473,1416,276,12,48.5,7.7,0
141,YouTube,Drame,2015,4,40,Canada,813,17566,1440,142,83.4,7.6,0
142,YouTube,Drame,2020,5,10,USA,3450,9063,920,29,77.7,8.2,0
143,YouTube,SF,2020,5,57,France,5753,742445,143183,4988,70.6,6.3,1
144,YouTube,Biopic,2020,3,37,USA,4928,8845,372,206,71.1,4.5,0
145,YouTube,Horreur,2021,6,7,Allemagne,156692,1314,95,1,64.0,7.7,0
146,YouTube,Action,2019,12,15,France,153457,175,13,1,44.9,5.4,0
147,YouTube,Drame,2022,7,23,France,1837211,57016,3016,319,49.2,6.4,0
148,YouTube,Horreur,2018,8,3,USA,4781,2936,153,36,71.9,5.0,0
149,YouTube,Action,2019,12,3,UK,537614,100,12,0,71.8,8.2,0
150,YouTube,Horreur,2016,8,55,USA,531009,3151,41,6,78.3,7.8,0
151,YouTube,Drame,2020,3,58,Allemagne,13842,247,6,6,87.2,4.4,0
152,YouTube,Biopic,2017,5,33,France,56789,1028,31,5,85.3,6.7,0
153,YouTube,Drame,2021,6,54,USA,263409,3027,328,1,91.0,8.1,0
154,YouTube,SF,2022,6,40,USA,19577,310,17,3,89.7,6.3,0
155,YouTube,Animation,2022,2,4,USA,16767,880,35,13,42.0,6.5,0
156,YouTube,Comedie,2023,2,43,USA,6281,463,65,3,50.3,8.0,0
157,YouTube,Romance,2016,5,4,Canada,196,496,11,8,63.6,6.1,0
158,YouTube,Romance,2016,11,49,USA,25360,239,49,6,85.4,6.4,0
159,YouTube,Documentaire,2023,9,23,UK,5325,891,71,4,58.6,7.7,0
160,YouTube,Biopic,2018,11,11,France,2563,318,18,3,45.3,5.0,0
161,YouTube,Animation,2015,3,17,USA,51245,12919,199,17,67.9,5.5,0
162,YouTube,SF,2017,5,41,USA,1208,4924,322,102,45.6,3.9,0
163,YouTube,SF,2022,7,51,USA,110432,59088,1552,304,85.1,9.5,0
164,YouTube,SF,2018,6,35,France,57942,333286,45026,1101,62.7,6.7,1
165,YouTube,Horreur,2015,6,12,Espagne,9893,16208,1569,150,64.9,8.1,0
166,YouTube,Thriller,2021,5,54,Allemagne,19406,9172,1561,461,90.0,4.7,0
167,YouTube,Comedie,2016,1,48,Canada,2037,18974,604,474,40.8,8.4,0
168,YouTube,Thriller,2018,11,26,Allemagne,98782,9570,532,2,66.6,6.1,0
169,YouTube,Action,2015,12,34,France,32039,3379,669,70,70.0,8.6,0
170,YouTube,Comedie,2020,1,57,USA,37186,2770,101,51,64.6,6.2,0
171,YouTube,Action,2019,5,24,USA,60100,231,5,1,88.1,4.9,0
172,YouTube,Documentaire,2022,7,4,Allemagne,6094,24277,1324,577,41.6,8.1,0
173,YouTube,Documentaire,2018,10,11,France,1055,2756,244,3,75.7,6.6,0
174,YouTube,Animation,2016,12,37,France,149437,111725,12630,481,79.7,4.7,1
175,YouTube,SF,2016,5,59,UK,87328,29373,1561,772,86.1,4.0,0
176,YouTube,Documentaire,2016,9,45,France,7549,623,68,15,69.3,7.1,0
177,YouTube,Comedie,2019,12,38,UK,49922,67287,6321,719,56.2,6.5,0
178,YouTube,Biopic,2015,10,21,France,272650,100,5,0,62.0,6.8,0
179,YouTube,Romance,2018,4,28,UK,214786,371596,9705,6283,79.8,6.9,1
180,YouTube,Biopic,2022,10,5,Allemagne,7121,104,15,1,52.7,6.3,0
181,YouTube,Comedie,2021,5,24,UK,1121,10278,967,79,84.0,7.1,0
182,YouTube,SF,2020,1,38,France,1580,8677,1488,190,19.3,7.6,0
183,YouTube,Animation,2023,10,54,France,11808,49478,5414,80,69.2,6.3,0
184,YouTube,SF,2022,11,55,France,410296,1310,47,32,63.8,7.3,0
185,YouTube,SF,2020,5,49,France,5131,100,13,1,61.0,7.4,0
186,YouTube,Comedie,2022,6,4,USA,6683,1315,22,6,61.3,8.1,0
187,YouTube,Thriller,2016,5,49,USA,6413,1723,377,6,27.7,3.2,0
188,YouTube,Drame,2022,2,15,France,7604,100,8,0,49.7,5.9,0
189,YouTube,Thriller,2017,12,38,France,21537,3339,308,50,88.9,7.3,0
190,YouTube,Animation,2021,1,56,Espagne,1702,202,3,2,34.2,9.6,0
191,YouTube,Animation,2023,7,53,France,192667,15103,1884,78,95.0,8.3,0
192,YouTube,Animation,2019,1,40,USA,16487,1611,325,6,77.9,8.3,0
193,YouTube,Thriller,2015,9,20,USA,3135405,401409,34201,8910,54.1,10.0,1
194,YouTube,Biopic,2018,11,32,France,2106,1571,207,20,81.8,6.4,0
195,YouTube,Action,2018,8,43,Allemagne,529523,8742,97,113,63.8,9.6,0
196,YouTube,Thriller,2023,8,32,France,356001,1749,301,2,56.1,7.5,0
197,YouTube,Comedie,2023,10,26,UK,9668,100,11,1,80.6,5.0,0
198,YouTube,Thriller,2020,12,25,UK,9995,1786,64,23,60.5,3.9,0
199,YouTube,Biopic,2023,11,37,Canada,3489,19604,559,25,43.3,6.2,0
200,YouTube,Thriller,2018,3,5,UK,3570,13426,743,18,71.7,7.5,0
201,YouTube,Biopic,2018,7,59,Canada,21999,1432,179,5,71.6,6.1,0
202,YouTube,SF,2022,10,8,USA,22957,100,5,0,75.6,6.7,0
203,YouTube,Animation,2021,4,59,USA,893,14930,1142,203,77.0,9.4,0
204,YouTube,SF,2019,9,5,UK,2163008,8507,1007,73,89.1,6.6,0
205,YouTube,Drame,2019,1,32,USA,13107,24551,2111,317,84.4,9.4,0
206,YouTube,Documentaire,2021,11,26,USA,25115,1502,84,7,73.5,7.7,0
207,YouTube,Biopic,2021,8,35,France,6295,100,25,1,35.2,8.1,0
208,YouTube,Drame,2019,9,27,France,12912,11320,1630,296,84.7,6.2,0
209,YouTube,Documentaire,2015,10,54,USA,10767,2913,506,74,36.9,6.4,0
210,YouTube,Drame,2015,3,3,France,21897,96684,1829,511,82.4,6.5,1
211,YouTube,Documentaire,2016,6,59,USA,21393,3202,59,73,48.5,6.4,0
212,YouTube,Documentaire,2019,11,42,France,110164,2660,401,27,83.0,7.5,0
213,YouTube,SF,2020,2,47,USA,34698,8460,579,25,80.1,8.4,0
214,YouTube,Documentaire,2022,10,10,UK,90090,670,145,2,61.4,10.0,0
215,YouTube,Drame,2017,4,6,USA,21598,594,43,0,65.6,5.5,0
216,YouTube,Action,2022,7,25,UK,34979,2333,187,28,82.6,6.5,0
217,YouTube,Action,2020,7,21,France,13594,298,21,1,61.8,8.0,0
218,YouTube,SF,2015,9,47,France,163770,1681,158,16,32.3,6.6,0
219,YouTube,Biopic,2018,11,54,UK,41992,380371,49457,2225,88.9,4.6,1
220,YouTube,Comedie,2017,5,27,Canada,16056,40399,13260,679,71.3,7.7,0
221,YouTube,SF,2022,3,46,UK,15126,6438,429,34,47.6,5.3,0
222,YouTube,Documentaire,2023,6,6,UK,17703,144234,10141,1441,62.1,6.8,1
223,YouTube,Drame,2022,8,45,UK,23409,379,5,1,77.7,9.1,0
224,YouTube,Documentaire,2019,10,8,UK,19678,1507705,49701,31487,83.6,7.6,1
225,YouTube,Thriller,2019,10,41,UK,7203,942,20,2,69.0,7.4,0
226,YouTube,Horreur,2017,5,24,UK,101701,446642,46143,4628,36.5,8.7,1
227,YouTube,Romance,2021,12,26,France,115399,441753,56076,5293,50.9,6.3,1
228,YouTube,Romance,2015,1,18,France,780518,100,2,1,89.4,7.0,0
229,YouTube,Comedie,2017,2,25,USA,6586,116743,15733,380,49.4,6.2,1
230,YouTube,SF,2016,1,52,USA,83523,1465,126,7,77.9,7.7,0
231,YouTube,Horreur,2019,12,49,Canada,483,720,196,18,70.8,4.5,0
232,YouTube,Action,2017,3,22,USA,115622,11065,371,167,63.8,5.2,0
233,YouTube,Documentaire,2016,8,19,France,1196,239,17,9,62.6,6.5,0
234,YouTube,SF,2018,10,32,Canada,3075,10456,591,46,86.7,7.4,0
235,YouTube,Documentaire,2022,10,42,France,42806,283,35,2,70.3,9.4,0
236,YouTube,Animation,2020,12,13,Canada,6355,4641,187,59,65.3,5.2,0
237,YouTube,SF,2022,1,44,France,4833,83986,9930,309,89.6,6.4,1
238,YouTube,Thriller,2023,5,57,USA,8352,7834,117,132,74.0,6.9,0
239,YouTube,Animation,2023,7,51,USA,94774,1212,70,15,89.4,4.8,0
240,YouTube,Comedie,2018,9,34,France,3409,11539,1463,74,90.6,5.4,0
241,YouTube,Romance,2022,8,21,France,19765,100,5,1,67.2,3.8,0
242,YouTube,Action,2023,7,21,France,10328,366,51,1,43.9,7.3,0
243,YouTube,Animation,2023,4,45,USA,113525,1016,24,0,40.6,5.3,0
244,YouTube,Animation,2018,2,28,USA,120071,21314,906,34,70.2,8.3,0
245,YouTube,Action,2017,6,9,Canada,560,8221,809,48,82.1,7.1,0
246,YouTube,Documentaire,2020,4,41,France,178121,11360,1482,31,63.1,6.2,0
247,YouTube,SF,2023,7,10,USA,6493,2783,188,11,46.5,5.4,0
248,YouTube,Documentaire,2023,10,59,France,35333,415,46,6,70.7,7.1,0
249,YouTube,Action,2020,7,26,Espagne,3368,123043,4383,718,61.3,6.1,1
250,YouTube,Comedie,2016,7,22,Canada,46270,520,56,4,87.5,7.3,0
251,YouTube,SF,2018,1,6,Espagne,3622583,8498,841,23,61.3,8.2,0
252,YouTube,Comedie,2021,8,12,Allemagne,28405,2252,137,2,60.3,5.4,0
253,YouTube,Thriller,2020,6,57,USA,8780,12179,2097,68,32.0,5.8,0
254,YouTube,Animation,2018,2,33,UK,13844,656,23,0,70.5,8.4,0
255,YouTube,Comedie,2018,3,54,USA,1166,41427,565,51,42.5,8.6,0
256,YouTube,Animation,2015,10,57,Allemagne,399483,93497,11825,249,42.0,5.1,1
257,YouTube,Comedie,2017,12,5,USA,41182,35536,5045,129,70.9,5.2,0
258,YouTube,Comedie,2021,7,24,USA,2703,4420,239,23,82.4,5.2,0
259,YouTube,Romance,2017,12,50,Allemagne,2885,1004,83,13,67.7,6.9,0
260,YouTube,Documentaire,2023,3,31,Canada,22710,3454814,807066,20149,68.3,4.4,1
261,YouTube,Comedie,2015,4,32,Espagne,142058,249,14,5,82.8,6.6,0
262,YouTube,Drame,2020,12,35,France,2203,26986,563,132,85.4,6.4,0
263,YouTube,Biopic,2019,3,43,France,204192,6849,718,85,44.5,5.6,0
264,YouTube,Biopic,2022,8,56,USA,18338,2549,109,18,37.5,6.6,0
265,YouTube,Romance,2022,3,53,USA,3427,4735,534,52,72.8,6.6,0
266,YouTube,SF,2019,4,38,USA,8643,832,90,7,67.2,6.0,0
267,YouTube,Thriller,2020,6,35,France,727309,8670,1226,142,66.6,9.0,0
268,YouTube,Animation,2021,5,23,Canada,1371,6581,2190,35,92.1,5.9,0
269,YouTube,Romance,2019,11,9,France,5096,2407580,218150,26122,76.2,6.6,1
270,YouTube,Drame,2016,12,43,UK,148029,43349,840,62,32.0,5.6,0
271,YouTube,Action,2018,7,3,Allemagne,33959,10826,3111,45,82.8,8.0,0
272,YouTube,Comedie,2017,7,42,UK,4525,12567,3219,134,88.5,4.8,0
273,YouTube,Biopic,2019,1,31,USA,151688,296215,39703,678,60.7,6.7,1
274,YouTube,SF,2020,3,47,France,166806,263,31,6,52.5,5.1,0
275,YouTube,SF,2016,1,57,France,42735,1887,57,11,78.5,3.9,0
276,YouTube,SF,2017,11,34,UK,6471,100,13,2,58.1,5.5,0
277,YouTube,Documentaire,2022,3,35,USA,8807,12051,407,30,40.4,5.5,0
278,YouTube,Action,2018,5,30,France,38923,24845,2192,581,77.1,7.3,0
279,YouTube,Action,2016,11,24,Espagne,1597,247,11,5,78.4,5.2,0
280,YouTube,Drame,2021,9,8,UK,313504,107764,6183,692,70.3,3.4,1
281,YouTube,SF,2021,8,4,Canada,660279,494,63,8,80.4,3.5,0
282,YouTube,Animation,2022,1,44,USA,13740,1266,21,15,62.8,6.7,0
283,YouTube,SF,2021,7,55,Espagne,44900,4019,574,27,86.5,7.2,0
284,YouTube,SF,2023,7,6,France,236004,160410,4672,1116,67.5,6.8,1
285,YouTube,Biopic,2020,4,21,France,1100331,348,54,2,55.3,5.9,0
286,YouTube,Comedie,2017,9,37,Allemagne,495817,6174,499,16,42.0,7.0,0
287,YouTube,Romance,2022,12,43,Allemagne,684,20683,1231,89,42.7,3.7,0
288,YouTube,Romance,2017,4,44,USA,11718,12347,348,82,91.1,3.5,0
289,YouTube,SF,2017,4,42,France,59956,13541,1742,87,58.7,4.3,0
290,YouTube,Horreur,2022,4,7,USA,8197,20005,3349,9,63.7,6.2,0
291,YouTube,Drame,2022,11,17,Canada,778818,744,43,10,63.4,7.7,0
292,YouTube,Biopic,2018,1,29,Canada,573062,202693,16902,3627,64.2,5.0,1
293,YouTube,Thriller,2021,11,6,USA,4307,2257,120,21,60.6,5.2,0
294,YouTube,Romance,2023,10,22,France,15917,1620,523,13,54.9,7.4,0
295,YouTube,Romance,2022,6,24,UK,4919,86600,3915,106,44.4,5.9,1
296,YouTube,Horreur,2015,8,58,UK,14909,616,49,21,69.2,6.8,0
297,YouTube,SF,2020,11,21,USA,14032,6638,937,26,89.5,6.6,0
298,YouTube,Drame,2016,10,58,USA,148526,489,32,2,32.2,4.6,0
299,YouTube,Action,2022,4,42,Espagne,3725,1620247,141077,9043,35.7,9.2,1
300,YouTube,Thriller,2015,1,42,France,117,957074,78581,2792,81.3,5.2,1
301,YouTube,Horreur,2023,8,49,USA,889,2262,272,24,81.8,9.3,0
302,YouTube,Action,2016,2,51,UK,2816,10934,827,85,81.6,7.3,0
303,YouTube,Horreur,2018,2,15,USA,5934,3019,629,9,77.3,6.9,0
304,YouTube,Romance,2017,12,26,Allemagne,32027,1247,99,18,66.7,4.3,0
305,YouTube,Comedie,2022,6,33,UK,2541,4020,198,9,24.6,7.0,0
306,YouTube,Thriller,2018,8,58,USA,1954,2693,96,33,88.9,6.4,0
307,YouTube,Romance,2021,3,5,France,3432,100,13,1,84.7,6.2,0
308,YouTube,Thriller,2015,2,30,UK,2365,5753,617,86,65.6,4.5,0
309,YouTube,Comedie,2019,1,15,France,7266,2681,242,11,83.5,7.8,0
310,YouTube,Animation,2023,5,14,France,6670,6506,925,56,89.9,7.9,0
311,YouTube,Animation,2023,1,46,USA,87388,2455,225,0,94.6,3.9,0
312,YouTube,Comedie,2016,6,14,USA,3044,1210,73,12,85.6,5.6,0
313,YouTube,Drame,2018,4,48,Espagne,10773,26563,1562,1426,77.8,6.1,0
314,YouTube,Drame,2018,7,59,UK,7405,11303,1252,171,69.1,7.0,0
315,YouTube,Animation,2020,8,47,Canada,111053,97745,10916,194,80.4,6.7,1
316,YouTube,Documentaire,2019,4,12,USA,16178,10268,372,26,72.5,6.4,0
317,YouTube,Documentaire,2015,6,11,USA,180122,1818,219,18,44.6,7.2,0
318,YouTube,Biopic,2021,1,27,Espagne,2197,13931,1007,111,87.1,9.3,0
319,YouTube,Documentaire,2017,4,34,USA,19955,100,5,0,47.6,6.1,0
320,YouTube,Thriller,2017,12,47,Canada,6961,573320,37223,113,69.3,8.0,1
321,YouTube,Comedie,2022,12,27,USA,1896,5919,180,158,30.6,9.1,0
322,YouTube,Animation,2021,6,12,France,19244,701614,36616,9124,52.8,8.8,1
323,YouTube,Biopic,2018,12,59,USA,704931,339,31,7,60.1,7.5,0
324,YouTube,Biopic,2023,7,54,France,4000,182,9,4,37.9,7.5,0
325,YouTube,Drame,2018,2,40,France,17070,7439,695,157,81.6,7.1,0
326,YouTube,Drame,2020,11,42,France,1596,7378,766,113,52.7,9.0,0
327,YouTube,Action,2017,5,56,France,1189,6943,642,396,47.0,5.9,0
328,YouTube,Comedie,2016,8,30,USA,4561,4743,616,37,60.0,5.9,0
329,YouTube,Romance,2019,8,11,Allemagne,8955,619,35,6,58.7,5.5,0
330,YouTube,Romance,2020,4,37,USA,9787,100,4,1,33.1,10.0,0
331,YouTube,Thriller,2022,9,28,Canada,14015,6050,355,47,70.5,8.8,0
