id,plateforme,genre,annee,nb_saisons,pays_origine,duree_ep_min,score_critique,note_spectateurs,nb_abonnes_impact
141,Netflix,Action,2021,5,USA,44,8.3,6.2,59754
142,Netflix,Romance,2021,4,USA,79,7.2,7.9,6437502
143,Disney+,Horreur,2010,4,Allemagne,51,8.5,6.3,90259
144,Netflix,Animation,2019,5,Canada,34,7.9,5.6,95745
145,Prime Video,Drame,2017,5,France,50,8.0,7.0,213237
146,Prime Video,SF,2015,1,USA,74,7.4,7.0,299611
147,Disney+,Action,2015,4,USA,39,7.9,9.2,235657
148,Netflix,Drame,2021,6,Espagne,33,5.8,7.4,688915
149,Prime Video,Biopic,2022,5,UK,53,6.6,7.2,20043
150,Netflix,Animation,2018,1,Allemagne,82,5.3,7.0,115578
151,Prime Video,Drame,2019,3,USA,80,5.6,6.1,831130
152,Netflix,SF,2016,6,UK,81,8.5,6.5,5186
153,Disney+,Biopic,2023,6,France,39,7.5,6.1,22588
154,Disney+,SF,2020,1,France,79,6.4,7.0,470256
155,Disney+,Horreur,2014,7,UK,54,5.8,4.8,184270
156,Netflix,Drame,2022,2,USA,43,5.3,4.5,61672
157,Netflix,Animation,2011,6,Allemagne,53,5.5,5.8,260784
158,Netflix,SF,2010,6,UK,70,6.3,5.7,314507
159,Prime Video,Horreur,2020,5,USA,68,3.6,7.2,42894
160,Netflix,Horreur,2019,1,USA,74,8.1,6.1,145082
161,Disney+,Horreur,2020,2,France,55,7.4,7.5,27893
162,Netflix,Romance,2011,2,UK,33,7.5,6.0,917875
163,Netflix,Animation,2015,1,France,35,7.8,9.6,15665
164,Netflix,SF,2019,1,USA,34,7.0,6.4,134076
165,Prime Video,Romance,2012,1,France,45,7.3,7.3,534716
166,Disney+,Romance,2020,4,UK,28,6.9,6.0,3275510
167,Disney+,Documentaire,2011,4,UK,32,8.7,6.2,121948
168,Disney+,Drame,2017,3,France,65,5.9,7.3,10075362
169,Netflix,Comedie,2018,2,USA,26,8.0,6.8,29595
170,Netflix,Comedie,2021,2,USA,60,5.7,7.7,393215
171,Prime Video,Animation,2012,2,Espagne,31,5.6,8.1,57062
172,Disney+,Thriller,2021,4,Allemagne,36,5.2,9.5,1903369
173,Disney+,Action,2011,2,USA,26,4.7,7.7,142490
174,Disney+,Horreur,2016,4,Canada,60,7.3,6.8,34654
175,Netflix,Horreur,2018,7,France,26,5.8,6.3,1045205
176,Netflix,SF,2015,7,France,85,7.4,5.9,84319
177,Netflix,Documentaire,2018,2,UK,29,9.0,6.3,23184
178,Disney+,Drame,2012,4,Allemagne,44,6.4,7.1,100522
179,Netflix,Comedie,2017,4,France,46,7.4,8.3,739442
180,Netflix,SF,2023,2,Canada,28,8.2,7.3,130123
181,Netflix,Biopic,2020,7,France,30,7.3,6.4,90301
182,Prime Video,Horreur,2022,2,USA,54,7.1,5.2,161981
183,Netflix,Biopic,2015,1,Canada,54,5.0,5.8,4409
184,Netflix,Comedie,2012,1,USA,49,7.1,7.1,11872699
185,Netflix,Romance,2017,2,UK,37,7.7,7.5,149602
186,Netflix,Drame,2010,1,USA,88,9.2,8.0,690581
187,Prime Video,Action,2023,5,UK,78,6.6,8.0,1531736
188,Netflix,SF,2019,7,Canada,43,8.5,5.5,32326
189,Netflix,Horreur,2013,6,USA,28,6.3,5.9,23760
190,Prime Video,Drame,2015,6,USA,48,8.1,7.9,1769703
191,Netflix,Biopic,2011,6,France,70,6.0,8.2,47422
192,Disney+,Romance,2022,4,USA,77,7.1,6.8,89971
193,Prime Video,Comedie,2015,5,France,25,6.2,8.9,51650
194,Netflix,Horreur,2022,6,USA,35,7.0,8.3,1797
195,Netflix,SF,2017,1,USA,87,7.0,7.7,114875
196,Netflix,Drame,2011,3,Espagne,45,7.1,7.3,144360
197,Netflix,Biopic,2021,2,Allemagne,69,6.0,4.6,803383
198,Disney+,Drame,2012,5,USA,75,6.9,5.6,81656
199,Netflix,Horreur,2016,4,Allemagne,80,7.4,6.7,64114
200,Netflix,Action,2010,2,Espagne,88,6.6,8.9,360734
201,Prime Video,Biopic,2019,1,UK,26,6.0,8.5,616545
202,Netflix,Horreur,2021,6,USA,43,6.1,5.9,27845
203,Netflix,Documentaire,2018,1,Allemagne,62,8.2,8.1,8159
204,Netflix,Animation,2018,6,USA,29,7.0,5.6,4556517
205,Disney+,Drame,2016,6,USA,20,8.7,3.4,1670585
206,Netflix,Action,2023,6,UK,57,6.7,9.3,58360
207,Netflix,Documentaire,2021,6,France,45,6.8,3.9,97065
208,Prime Video,Biopic,2013,6,France,31,7.6,3.1,149370
209,Disney+,SF,2011,2,USA,88,7.7,7.1,43558
210,Netflix,Documentaire,2018,3,France,52,8.6,6.4,65320
211,Prime Video,Documentaire,2020,4,Allemagne,45,4.4,7.3,131480
212,Netflix,Comedie,2015,7,Allemagne,85,7.6,9.2,18679
213,Disney+,SF,2018,7,USA,60,5.7,8.1,5280549
214,Netflix,Biopic,2017,3,France,37,6.9,7.5,12503
215,Netflix,Horreur,2023,5,USA,56,5.7,5.7,6716
216,Netflix,SF,2014,7,USA,74,7.3,6.1,612360
217,Netflix,Animation,2014,6,France,41,5.7,7.6,86760
218,Prime Video,Action,2019,4,USA,38,4.7,6.2,298103
219,Netflix,Thriller,2012,5,USA,24,5.6,7.8,157553
220,Netflix,Biopic,2020,7,USA,59,8.4,7.1,88923
221,Prime Video,Drame,2014,3,Allemagne,80,7.8,6.5,136171
222,Netflix,SF,2016,5,Allemagne,24,8.5,8.3,289212
223,Netflix,Documentaire,2013,6,France,66,4.6,6.5,869723
224,Netflix,Thriller,2019,4,France,27,9.1,5.0,50755
225,Netflix,Horreur,2022,1,UK,88,9.9,8.4,319761
226,Netflix,Action,2019,1,France,32,5.7,6.8,78599
227,Netflix,Biopic,2018,5,USA,63,7.4,6.5,91144
228,Prime Video,Comedie,2023,1,UK,89,6.2,6.6,42246
229,Disney+,Biopic,2017,3,USA,27,7.9,6.1,101797
230,Disney+,Action,2013,1,USA,56,9.0,10.0,25024
231,Prime Video,Action,2020,7,USA,51,5.8,5.1,28623
232,Netflix,Animation,2015,6,USA,22,5.4,7.3,40196
233,Disney+,Animation,2010,5,USA,38,6.7,7.1,5310
234,Disney+,Animation,2018,7,Canada,67,10.0,7.8,37976
235,Netflix,Documentaire,2015,2,Canada,85,8.0,6.3,74156
236,Netflix,SF,2010,7,USA,70,7.6,8.4,269347
237,Netflix,Drame,2014,6,USA,34,8.2,6.4,19402
238,Netflix,Animation,2020,7,USA,61,8.4,6.2,147637
239,Netflix,Thriller,2022,3,UK,51,7.4,6.9,273706
240,Disney+,Romance,2022,2,USA,43,6.9,7.3,103672
241,Prime Video,Documentaire,2014,6,France,86,6.3,8.2,205323
242,Disney+,Romance,2022,4,UK,31,7.3,5.1,212927
243,Prime Video,Biopic,2014,1,France,26,8.4,8.0,89202
244,Prime Video,Animation,2011,7,Espagne,36,8.3,8.1,56452
245,Netflix,Comedie,2023,3,USA,72,6.3,7.8,197397
246,Disney+,Action,2015,2,USA,45,6.9,6.7,30000
247,Disney+,Documentaire,2021,4,USA,64,5.6,6.2,5227
248,Netflix,Biopic,2022,4,Canada,49,8.3,7.5,51047
249,Disney+,SF,2020,1,UK,50,7.6,7.1,64704
250,Prime Video,Documentaire,2015,3,USA,38,6.7,4.9,189232
251,Netflix,Thriller,2010,4,USA,27,6.5,8.0,176888
252,Netflix,Comedie,2021,3,UK,38,5.8,5.9,57412
253,Disney+,Drame,2013,7,Canada,78,7.1,6.0,171274
254,Netflix,Horreur,2022,5,USA,88,8.8,8.2,583821
255,Netflix,Horreur,2012,1,France,21,6.1,7.0,114480
256,Netflix,Animation,2011,4,USA,57,5.3,6.6,37377
257,Netflix,Action,2021,4,UK,74,7.1,6.3,81966
258,Netflix,Action,2011,7,France,65,8.4,6.5,438737
259,Prime Video,Documentaire,2023,6,Allemagne,62,8.2,6.8,17313
260,Prime Video,Action,2012,3,USA,49,8.5,8.9,404094
261,Netflix,Drame,2019,1,USA,33,6.4,4.3,65300
262,Prime Video,Thriller,2014,5,France,30,8.1,10.0,763983
263,Netflix,Thriller,2021,1,USA,59,7.4,9.8,224188
264,Netflix,Thriller,2013,2,Canada,64,6.7,6.3,364670
265,Disney+,Documentaire,2016,4,UK,68,7.0,7.0,580687
266,Netflix,Drame,2019,7,USA,52,8.0,7.0,756567
267,Disney+,SF,2011,7,Espagne,47,7.7,8.2,522998
268,Netflix,SF,2015,1,UK,79,7.7,7.0,36030
269,Disney+,Action,2020,5,USA,76,7.8,7.3,451409
270,Netflix,SF,2023,3,France,29,6.5,8.3,19563
271,Netflix,Documentaire,2022,7,Allemagne,86,5.4,4.3,24889
272,Prime Video,Action,2023,7,UK,25,6.2,6.6,129512
273,Prime Video,SF,2022,7,France,71,8.1,7.1,955923
274,Netflix,Documentaire,2020,6,USA,73,5.3,6.4,125194
275,Netflix,Thriller,2012,4,France,20,7.0,4.6,44691
276,Prime Video,Documentaire,2012,1,France,54,7.2,6.9,374405
277,Disney+,Romance,2023,1,USA,43,7.9,6.1,73664
278,Netflix,Animation,2011,4,USA,20,5.5,6.2,293995
279,Netflix,Animation,2016,1,Canada,83,4.3,6.8,180647
280,Netflix,Thriller,2012,4,UK,59,6.3,4.6,35259
281,Netflix,Biopic,2016,6,UK,43,7.7,6.4,818338
282,Netflix,Animation,2014,4,France,25,8.7,5.9,12596
283,Disney+,Action,2016,5,USA,33,6.2,5.1,38880
284,Disney+,Biopic,2021,6,USA,50,6.0,7.5,391001
285,Prime Video,Animation,2013,2,Espagne,30,7.3,5.1,11068559
286,Disney+,Action,2023,4,UK,27,9.5,7.5,10560
287,Netflix,Comedie,2016,6,USA,76,7.6,7.9,123999
288,Netflix,Action,2015,4,France,21,7.6,6.7,4371
289,Disney+,Action,2018,2,France,37,9.3,8.2,120325
290,Netflix,Horreur,2021,3,USA,37,8.1,9.8,56311
291,Disney+,Horreur,2023,4,UK,52,7.2,7.5,158808
292,Netflix,Thriller,2013,1,France,73,5.7,6.4,1249734
293,Netflix,Biopic,2023,3,France,55,7.1,8.3,549511
294,Netflix,Action,2019,4,USA,27,7.9,4.3,88662
295,Disney+,Thriller,2013,5,USA,87,5.8,9.8,435408
296,Netflix,Animation,2011,4,USA,75,8.1,6.9,169845
297,Netflix,SF,2011,5,Espagne,65,6.9,7.2,32043
298,Prime Video,Action,2011,6,Canada,70,6.7,4.8,140338
299,Disney+,Romance,2012,6,Canada,87,5.9,8.0,310657
300,Netflix,Thriller,2020,2,France,76,7.4,7.0,40268936
301,Disney+,Animation,2014,2,Espagne,34,7.8,6.6,1112050
302,Netflix,SF,2014,7,USA,59,5.7,6.0,454952
303,Prime Video,Horreur,2017,3,France,80,7.6,5.6,10642
304,Netflix,Animation,2012,1,USA,64,8.1,5.8,207871
305,Netflix,Thriller,2016,2,France,34,8.0,4.7,1342245
306,Netflix,Action,2015,2,USA,48,7.3,7.1,359296
307,Netflix,Animation,2010,4,France,39,6.6,8.9,890873
308,Prime Video,Animation,2021,5,USA,53,6.7,7.3,342436
309,Netflix,Action,2010,1,France,88,5.3,5.7,745962
310,Netflix,Biopic,2020,5,USA,43,6.2,7.2,12177
311,Disney+,Horreur,2020,7,USA,54,6.6,3.4,1898558
312,Netflix,Comedie,2015,3,Allemagne,87,6.0,9.0,543267
313,Disney+,Animation,2021,3,USA,45,7.2,6.1,946606
314,Netflix,Horreur,2017,7,Canada,89,8.8,7.5,197733
315,Disney+,Romance,2021,3,Canada,65,9.0,6.7,361988
316,Prime Video,Action,2021,6,USA,22,6.3,7.6,486785
317,Netflix,Action,2010,3,USA,74,9.1,9.8,124877
318,Netflix,Comedie,2019,1,USA,42,8.4,4.0,49235
319,Disney+,Action,2016,3,Allemagne,51,6.2,7.1,30595
320,Prime Video,Romance,2012,7,Espagne,28,7.6,7.2,133774
321,Prime Video,Action,2023,5,UK,78,7.0,6.3,44204
322,Prime Video,Action,2014,6,Allemagne,39,4.5,5.8,54772
323,Prime Video,Drame,2023,7,Canada,64,5.5,8.0,1474923
324,Netflix,Documentaire,2017,4,UK,23,7.9,6.8,1853450
325,Prime Video,SF,2023,4,USA,80,5.1,6.8,95679
326,Netflix,Action,2019,6,USA,70,9.2,6.4,1145327
327,Disney+,SF,2022,6,USA,86,8.2,6.6,122583
328,Disney+,SF,2011,3,Canada,65,7.8,7.6,92408
329,Disney+,Comedie,2018,3,USA,64,5.1,7.5,282915
330,Netflix,Horreur,2020,3,UK,71,8.3,5.8,53097
331,Prime Video,SF,2022,3,USA,69,8.2,6.4,98173
332,Netflix,Action,2023,1,France,88,8.1,8.1,1216753
333,Prime Video,Romance,2022,7,Allemagne,25,8.1,9.0,267547
334,Disney+,Documentaire,2017,4,USA,54,9.1,9.0,287628
335,Netflix,Comedie,2018,1,USA,75,6.1,8.9,115614
336,Netflix,Horreur,2023,7,USA,32,6.8,7.1,100935
337,Prime Video,Comedie,2011,4,France,88,5.9,8.1,193098
338,Disney+,Comedie,2016,7,France,62,7.9,7.3,520984
339,Disney+,Documentaire,2012,6,France,53,6.7,5.8,271989
340,Disney+,Drame,2017,6,Espagne,26,5.4,6.6,404926
341,Prime Video,Biopic,2019,5,Canada,48,7.1,6.5,10890
342,Netflix,SF,2010,5,Canada,87,4.6,8.0,36058
343,Prime Video,Comedie,2018,1,USA,68,7.1,7.8,64804
344,Netflix,Animation,2022,1,USA,70,7.1,6.7,312312
345,Prime Video,SF,2015,1,USA,34,6.5,6.5,281081
346,Disney+,Horreur,2022,5,USA,47,8.2,5.9,430908
347,Prime Video,Comedie,2011,7,USA,28,4.8,6.4,96954
348,Prime Video,Horreur,2010,3,Canada,73,7.1,6.7,191096
349,Prime Video,Action,2013,3,Allemagne,84,7.2,7.2,2320338
350,Disney+,Biopic,2022,5,Canada,48,6.9,6.9,171011
351,Disney+,Comedie,2023,4,Espagne,24,8.5,5.8,10001
352,Netflix,Drame,2012,6,Allemagne,84,6.2,6.2,336733
353,Netflix,Thriller,2010,2,USA,68,6.9,6.7,960133
354,Disney+,Romance,2019,6,USA,53,7.1,7.5,902080
355,Netflix,Romance,2021,4,USA,41,6.5,6.2,99563
356,Netflix,Biopic,2015,2,France,40,5.1,4.9,110212
357,Netflix,Romance,2018,3,Canada,20,8.8,5.4,506237
358,Prime Video,Biopic,2022,6,USA,66,6.1,7.2,201306
359,Netflix,SF,2010,6,France,36,6.1,7.4,369889
360,Netflix,Comedie,2022,6,USA,31,4.3,6.0,68821
361,Prime Video,Thriller,2015,1,USA,78,7.1,5.5,281285
362,Disney+,Horreur,2022,2,USA,36,7.2,5.0,72612
363,Netflix,Thriller,2021,5,USA,21,8.5,5.0,118082
364,Netflix,Romance,2012,7,USA,53,6.5,6.3,32098
365,Disney+,Action,2018,7,USA,34,7.3,4.8,48084
366,Disney+,SF,2013,2,USA,70,8.2,7.0,18924
367,Netflix,Drame,2022,3,UK,71,8.7,7.5,15445
368,Disney+,Horreur,2023,6,Allemagne,49,7.4,5.0,39706
369,Prime Video,Comedie,2023,6,France,88,6.6,5.5,306772
370,Disney+,Action,2013,3,Espagne,74,8.4,6.7,232046
371,Netflix,Romance,2021,1,USA,66,8.5,5.7,568144
372,Prime Video,Thriller,2011,1,Canada,46,4.9,7.0,81644
373,Netflix,SF,2020,4,UK,57,7.4,8.1,16821
374,Netflix,Romance,2011,1,Canada,42,8.2,6.5,275295
375,Disney+,Drame,2011,3,USA,47,7.9,4.6,157669
376,Prime Video,Action,2023,2,France,63,6.7,7.0,132016
377,Netflix,Comedie,2020,6,France,71,6.4,6.4,31670
378,Disney+,Biopic,2010,5,USA,60,8.7,7.5,93331
379,Disney+,Animation,2018,7,UK,34,7.3,9.8,446935
380,Disney+,SF,2020,3,USA,57,6.8,5.6,26620
381,Netflix,Biopic,2015,6,UK,25,6.8,5.8,10326
382,Netflix,Comedie,2021,1,Espagne,40,7.0,7.2,201472
383,Disney+,Drame,2021,2,USA,69,6.8,7.9,48151
384,Prime Video,Comedie,2014,6,USA,20,8.4,9.5,492459
385,Prime Video,Animation,2016,6,USA,83,7.5,6.3,97911
386,Prime Video,Biopic,2014,5,UK,72,7.4,5.7,33703
387,Prime Video,Comedie,2019,1,France,81,6.8,5.8,200875
388,Netflix,Biopic,2021,1,USA,45,7.7,6.2,153299
389,Netflix,Drame,2019,5,USA,46,5.9,6.5,153630
390,Netflix,Horreur,2015,1,France,20,7.2,7.0,31989
391,Disney+,Comedie,2020,1,Espagne,85,5.1,6.8,989332
392,Disney+,Action,2022,6,Espagne,38,6.7,5.1,66161
393,Prime Video,Romance,2014,6,Canada,25,6.4,4.8,1394943
394,Netflix,Horreur,2022,3,USA,28,7.0,6.7,12328
395,Netflix,Action,2012,7,USA,24,6.5,5.8,593008
396,Netflix,Horreur,2022,2,France,23,7.6,6.0,343174
397,Netflix,SF,2020,5,Canada,58,6.2,7.9,103309
398,Netflix,Documentaire,2018,5,France,41,8.0,7.7,13354
399,Netflix,Biopic,2015,2,UK,68,8.9,6.3,176193
400,Netflix,Action,2020,6,France,29,5.7,8.1,10055
401,Disney+,Comedie,2023,2,Canada,39,7.7,8.2,81325
402,Netflix,Comedie,2022,5,USA,57,6.7,8.6,525357
403,Netflix,Romance,2023,2,USA,61,8.1,8.8,119699
404,Netflix,Romance,2023,2,France,89,5.7,6.5,119335
405,Prime Video,Action,2023,3,USA,23,8.4,8.2,1273015
406,Prime Video,Drame,2017,3,Espagne,50,6.6,6.4,196290
407,Netflix,Romance,2016,4,France,82,6.7,8.4,2105223
408,Netflix,Thriller,2015,2,USA,67,6.7,6.5,97996
409,Disney+,Documentaire,2023,1,USA,59,5.7,6.8,741062
410,Prime Video,Documentaire,2015,2,UK,87,7.9,5.5,128241
411,Disney+,Comedie,2010,6,Canada,86,6.3,5.5,269990
412,Disney+,Action,2012,2,Espagne,58,7.6,7.3,46591
413,Disney+,Thriller,2019,4,USA,60,6.7,8.1,233929
414,Disney+,Romance,2018,4,USA,86,6.7,5.5,258106
415,Prime Video,SF,2023,4,USA,79,8.2,8.5,194000
416,Disney+,Drame,2023,2,UK,57,5.2,8.4,11926
417,Netflix,Horreur,2010,5,Espagne,86,4.2,7.3,751291
418,Prime Video,SF,2021,3,USA,24,6.2,8.0,255503
419,Netflix,Action,2020,2,UK,52,6.9,6.1,311894
420,Netflix,Action,2021,1,Canada,76,6.7,5.0,1556372
421,Disney+,Thriller,2018,5,Canada,43,6.1,6.1,143987
